"","Colony","Nest","Day","ScaledX","ScaledY","Bin","Sex","Ratio"
"328",12,"Tube",10,5.840461138,1.775753068,7,"M",0.9
"329",12,"Tube",10,5.973099665,1.56129974,7,"M",0.9
"330",12,"Tube",10,5.742530681,1.453452956,7,"M",0.9
"331",12,"Tube",11,3.021776813,1.613797205,2,"M",0.92
"332",12,"Tube",11,2.697003399,1.590507931,2,"M",0.92
"333",12,"Tube",11,2.455311556,1.679884819,2,"M",0.92
"334",12,"Tube",11,2.076410498,1.518126888,2,"M",0.92
"335",12,"Tube",11,2.043680136,1.385951662,2,"M",0.92
"336",12,"Tube",11,1.694990559,1.560927115,3,"M",0.92
"337",12,"Tube",11,1.547709592,2.561682402,3,"M",0.92
"338",12,"Tube",11,1.990810045,3.184794184,4,"M",0.92
"339",12,"Tube",11,1.672331949,3.3081571,4,"M",0.92
"340",12,"Tube",11,2.609516616,3.160247356,4,"M",0.92
"341",12,"Tube",11,2.900302115,3.347809668,4,"M",0.92
"342",12,"Tube",11,4.177996601,3.136329305,5,"M",0.92
"343",12,"Tube",11,4.27366503,3.335220921,5,"M",0.92
"344",12,"Tube",11,4.45367636,3.131293429,5,"M",0.92
"345",12,"Tube",11,4.361782477,3.150175604,5,"M",0.92
"346",12,"Tube",11,5.850641994,3.13255287,6,"M",0.92
"347",12,"Tube",11,6.093277946,3.183534743,6,"M",0.92
"348",12,"Tube",11,6.102719033,2.641616314,7,"M",0.92
"349",12,"Tube",11,5.770392749,2.284743202,7,"M",0.92
"350",12,"Tube",11,5.777001511,1.53228852,7,"F",0.92
"351",12,"Tube",11,5.553247734,1.435045317,8,"F",0.92
"352",12,"Tube",11,5.302114804,1.6918429,8,"M",0.92
"353",12,"Tube",11,5.052870091,1.567220544,8,"M",0.92
"354",12,"Tube",11,4.599697885,1.497356495,8,"M",0.92
"355",12,"Tube",11,4.662009063,1.66163142,8,"M",0.92
"356",12,"Tube",12,3.600151745,1.060318665,1,"M",0.958333333333333
"357",12,"Tube",12,3.73292868,1.445371775,1,"M",0.958333333333333
"358",12,"Tube",12,2.908763278,1.448216995,2,"M",0.958333333333333
"359",12,"Tube",12,2.770295903,1.510811836,2,"M",0.958333333333333
"360",12,"Tube",12,2.341616085,1.597116844,2,"M",0.958333333333333
"361",12,"Tube",12,2.276176024,1.725151745,2,"M",0.958333333333333
"362",12,"Tube",12,1.727996965,1.690060698,3,"M",0.958333333333333
"363",12,"Tube",12,1.460546282,2.099772382,3,"M",0.958333333333333
"364",12,"Tube",12,1.663505311,3.019726859,4,"M",0.958333333333333
"365",12,"Tube",12,1.789643399,3.340288316,4,"M",0.958333333333333
"366",12,"Tube",12,1.919575114,3.216047041,4,"M",0.958333333333333
"367",12,"Tube",12,1.783952959,3.106980273,4,"M",0.958333333333333
"368",12,"Tube",12,2.336874052,3.247344461,4,"M",0.958333333333333
"369",12,"Tube",12,2.368171472,3.386760243,4,"M",0.958333333333333
"370",12,"Tube",12,2.763657056,3.383915023,4,"M",0.958333333333333
"371",12,"Tube",12,3.885622155,3.292867982,5,"M",0.958333333333333
"372",12,"Tube",12,4.146433991,3.070940819,5,"M",0.958333333333333
"373",12,"Tube",12,5.188732929,3.266312595,6,"M",0.958333333333333
"374",12,"Tube",12,5.548179059,3.353566009,6,"M",0.958333333333333
"375",12,"Tube",12,5.96452959,3.158194234,6,"M",0.958333333333333
"376",12,"Tube",12,6.020485584,2.956183612,6,"M",0.958333333333333
"377",12,"Tube",12,6.195940819,2.009673748,7,"F",0.958333333333333
"378",12,"Tube",12,5.483687405,1.559180577,8,"M",0.958333333333333
"379",12,"Tube",12,5.032245827,1.488050076,8,"M",0.958333333333333
"380",12,"Tube",12,4.36646434,1.759294385,8,"M",0.958333333333333
"381",12,"Tube",13,3.557987711,1.340245776,1,"M",0.961538461538462
"382",12,"Tube",13,3.387096774,1.355606759,1,"M",0.961538461538462
"383",12,"Tube",13,3.429339478,1.576420891,1,"M",0.961538461538462
"384",12,"Tube",13,3.579109063,1.651305684,1,"M",0.961538461538462
